Time,SO2,H2S,H2,CO2serial,CO2_Corre,Ext,Rh,Tair,Pressure,Lat,Long,VBatt,H2Scor,H2cor,,,
13/07/2018 19:25,0.761177,-0.2060442,9.595909,456.5246,18.8746,18.28122,55.11517,25.4203,808.3,13.43309,-88.27278,13.00458,-0.1537442,4.554909,,,
13/07/2018 19:25,0.7662926,-0.1923304,9.458416,458.0322,20.3822,18.5504,55.12544,25.41888,808.3,13.43221,-88.26935,13.00458,-0.1400304,4.417416,,,
13/07/2018 19:25,0.7889099,-0.1931353,9.456909,459.8414,22.1914,18.80189,55.09753,25.41801,808.3,13.43219,-88.26935,13.00458,-0.1408353,4.415909,,,
13/07/2018 19:25,0.7911454,-0.2018681,9.423146,457.4291,19.7791,18.8296,55.05572,25.41797,808.3,13.43221,-88.26935,13.01622,-0.1495681,4.382146,,,
13/07/2018 19:25,0.7902603,-0.2005806,9.296757,461.349,23.699,18.98676,54.99341,25.41637,808.3,13.43221,-88.26935,13.01622,-0.1482806,4.255757,,,
13/07/2018 19:25,0.7910042,-0.2023563,9.211338,458.6353,20.9853,19.03708,54.91423,25.41602,808.3,13.43221,-88.26935,13.01622,-0.1500563,4.170338,,,
13/07/2018 19:25,0.7887726,-0.2027683,9.082096,461.0475,23.3975,19.15104,54.79088,25.41631,808.3,13.43221,-88.26935,13.01622,-0.1504683,4.041096,,,
13/07/2018 19:25,0.788002,-0.2086658,9.071614,461.0475,23.3975,19.14127,54.66076,25.41484,808.3,13.43221,-88.26935,13.01622,-0.1563658,4.030614,,,
13/07/2018 19:25,0.7818184,-0.1923828,8.964294,459.8414,22.1914,19.12447,54.50276,25.41398,808.3,13.43221,-88.26935,13.01622,-0.1400828,3.923294,,,
13/07/2018 19:25,0.7828827,-0.1957006,8.839359,459.5398,21.8898,19.07585,54.34862,25.41282,808.3,13.43222,-88.26935,13.01622,-0.1434006,3.798359,,,
13/07/2018 19:25,0.7835884,-0.1958532,8.711632,459.5398,21.8898,19.15198,54.19994,25.41312,808.2,13.43223,-88.26934,13.01622,-0.1435532,3.670632,,,
13/07/2018 19:25,0.7864303,-0.1968231,8.588947,462.5551,24.9051,19.18977,54.06158,25.41241,808.2,13.43224,-88.26934,12.9686,-0.1445231,3.547947,,,
13/07/2018 19:25,0.7893371,-0.1985321,8.644779,459.8414,22.1914,19.26438,53.96414,25.41049,808.2,13.43225,-88.26934,12.9686,-0.1462321,3.603779,,,
13/07/2018 19:25,0.7991676,-0.1871004,8.681725,460.746,23.096,19.13717,53.92187,25.40968,808.2,13.43226,-88.26934,12.9686,-0.1348004,3.640725,,,
13/07/2018 19:25,0.810482,-0.1753788,8.587482,458.9368,21.2868,19.09213,53.91824,25.41016,808.2,13.43227,-88.26934,12.9686,-0.1230788,3.546482,,,
13/07/2018 19:25,0.8226623,-0.175519,8.380882,460.1429,22.4929,19.14689,53.93499,25.40902,808.2,13.43228,-88.26934,12.9686,-0.123219,3.339882,,,
13/07/2018 19:25,0.8408127,-0.1774931,8.225434,460.4444,22.7944,19.23392,53.93186,25.40679,808.2,13.43229,-88.26934,12.9686,-0.1251931,3.184434,,,
13/07/2018 19:25,0.8474731,-0.1747828,8.274944,458.0322,20.3822,19.11965,53.89731,25.40616,808.2,13.4323,-88.26934,12.9686,-0.1224828,3.233944,,,
13/07/2018 19:25,0.8630028,-0.1804266,8.26241,458.9368,21.2868,19.10616,53.81852,25.40541,808.2,13.43231,-88.26935,12.9686,-0.1281266,3.22141,,,
13/07/2018 19:25,0.8838196,-0.1656818,7.827324,460.4444,22.7944,19.17939,53.69822,25.4052,808.3,13.43232,-88.26935,13.04802,-0.1133818,2.786324,,,
13/07/2018 19:25,0.8862228,-0.159215,8.121678,461.349,23.699,19.09789,53.55963,25.40359,808.2,13.43233,-88.26935,13.04802,-0.106915,3.080678,,,
13/07/2018 19:25,0.8969918,-0.1702213,8.145206,459.8414,22.1914,19.08547,53.40119,25.40275,808.2,13.43234,-88.26935,13.04802,-0.1179213,3.104206,,,
13/07/2018 19:25,0.9045029,-0.186204,7.803066,459.5398,21.8898,19.11583,53.25449,25.40234,808.2,13.43235,-88.26935,13.04802,-0.133904,2.762066,,,
13/07/2018 19:25,0.9085159,-0.1801786,8.07703,456.223,18.573,19.07739,53.10753,25.40178,808.2,13.43236,-88.26935,13.04802,-0.1278786,3.03603,,,
