Time;SO2;H2S;H2;CO2serial;Ext;Rh;Tair;Pressure;Lat;Long;VBatt
2018/02/09 18:05:44;0.3648071;0.07724858;10.65793;429.6886;12.32871;25.93784;27.15205;781.4;13.85369;-89.63167;13.10369
2018/02/09 18:05:45;0.3454971;0.08405686;10.48854;424.2612;15.40204;25.95436;27.15244;781.4;13.85369;-89.63167;13.10369
2018/02/09 18:05:46;0.3309059;0.08206844;10.1773;425.7688;17.43184;25.99072;27.15416;781.5;13.85369;-89.63167;13.10369
2018/02/09 18:05:47;0.3200722;0.07959462;9.877582;426.0704;18.69918;26.03048;27.15647;781.4;13.85369;-89.63167;12.98669
2018/02/09 18:05:48;0.3231583;0.07974815;9.411018;431.1963;19.40296;26.04786;27.15649;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:05:49;0.3029556;0.0793314;9.318588;426.3719;19.65792;26.09293;27.15755;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:05:50;0.2938042;0.08305359;9.256019;426.3719;20.01503;26.12479;27.15961;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:05:51;0.2878685;0.07850074;9.073662;430.2917;20.04507;26.14156;27.16084;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:05:52;0.2837372;0.07986164;8.796616;432.7039;19.90392;26.17076;27.16291;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:05:53;0.2911606;0.09645653;8.380577;430.5933;19.79661;26.19598;27.16289;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:05:54;0.2893486;0.09816456;8.125202;433.9101;19.71112;26.23246;27.16495;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:05:55;0.2848701;0.100668;7.905773;435.1162;19.58541;26.25824;27.16697;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:05:56;0.2852745;0.08820057;7.645966;430.8948;19.57595;26.27983;27.16811;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:05:57;0.2925682;0.08161545;7.39444;435.7192;19.58345;26.30311;27.16924;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:05:58;0.3085213;0.07983208;7.083019;433.0055;19.56675;26.31902;27.17079;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:05:59;0.2957535;0.09327698;7.281338;425.4673;19.52398;26.33771;27.17261;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:06:00;0.2984581;0.1042337;7.282944;427.8795;19.42735;26.35712;27.17421;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:06:01;0.3044395;0.09054184;7.190811;420.6429;18.84355;26.37492;27.17538;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:06:02;0.3112183;0.08506966;7.033654;423.9597;19.02556;26.41437;27.17734;781.5;13.85369;-89.63167;13.07444
2018/02/09 18:06:03;0.3116455;0.08662224;6.952854;421.5474;19.21406;26.42799;27.17661;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:06:04;0.3024559;0.09051037;6.755013;420.0398;19.32185;26.47859;27.18017;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:06:05;0.2988548;0.08678913;6.455387;422.7536;19.18714;26.51129;27.18034;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:06:06;0.3026276;0.08901119;6.10746;423.0551;19.1976;26.55379;27.18171;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:06:07;0.3002434;0.08726883;5.83506;422.452;19.20835;26.58083;27.18397;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:06:08;0.3065834;0.09593201;5.938946;425.4673;19.07862;26.60334;27.1849;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:06:09;0.2966194;0.0952034;5.993332;425.4673;19.11684;26.63868;27.18679;781.5;13.85369;-89.63167;12.98669
2018/02/09 18:06:10;0.2999115;0.1044684;5.794071;420.3413;18.93215;26.65162;27.18761;781.5;13.85369;-89.63166;12.98669
2018/02/09 18:06:11;0.3059845;0.1211968;5.87254;417.0245;18.77457;26.65099;27.19003;781.4;13.85369;-89.63166;13.06469
2018/02/09 18:06:12;0.301918;0.1302128;5.792576;420.3413;18.84611;26.64064;27.19086;781.5;13.85369;-89.63167;13.06469
2018/02/09 18:06:13;0.3127518;0.1243515;5.751804;419.7383;18.71019;26.61543;27.19426;781.4;13.85368;-89.63167;13.06469
2018/02/09 18:06:14;0.299469;0.1055851;6.006554;421.5474;18.69375;26.60192;27.19332;781.4;13.85368;-89.63167;13.06469
2018/02/09 18:06:15;0.2968636;0.1112166;5.852043;423.3566;18.63895;26.57673;27.1956;781.4;13.85368;-89.63167;13.06469
2018/02/09 18:06:16;0.2898331;0.1072521;5.601338;423.0551;18.60839;26.52515;27.19795;781.5;13.85368;-89.63167;13.06469
2018/02/09 18:06:17;0.2866058;0.1060391;5.831081;426.3719;18.53872;26.47303;27.19863;781.5;13.85368;-89.63167;13.06469
2018/02/09 18:06:18;0.28825;0.09156132;5.813507;423.3566;18.489;26.4059;27.19843;781.5;13.85368;-89.63167;13.06469
2018/02/09 18:06:19;0.2762642;0.07758141;5.668907;425.7688;18.5069;26.32445;27.20131;781.5;13.85368;-89.63167;12.9867
2018/02/09 18:06:20;0.2751579;0.06177902;5.666088;429.0856;18.50297;26.24571;27.20325;781.5;13.85368;-89.63167;12.9867
2018/02/09 18:06:21;0.2744141;0.05285454;5.49958;429.9902;18.50925;26.15386;27.2048;781.4;13.85368;-89.63167;12.9867
2018/02/09 18:06:22;0.2761497;0.05098915;5.460205;428.4826;18.53647;26.06466;27.20617;781.5;13.85367;-89.63168;12.9867
2018/02/09 18:06:23;0.2885857;0.04804993;5.459046;423.3566;18.59522;25.97523;27.20732;781.5;13.85367;-89.63168;12.9867
2018/02/09 18:06:24;0.2961731;0.03457165;5.245072;422.452;18.50223;25.86232;27.20865;781.5;13.85367;-89.63169;12.9867
2018/02/09 18:06:25;0.3044434;0.03857422;5.299511;421.8489;18.44433;25.75045;27.21056;781.5;13.85367;-89.6317;12.9867
2018/02/09 18:06:26;0.3150291;0.04581738;5.500336;418.8337;18.41692;25.63279;27.21149;781.5;13.85367;-89.6317;12.9867
2018/02/09 18:06:27;0.3213501;0.04254246;5.437031;420.6429;18.42217;25.53267;27.21227;781.5;13.85367;-89.6317;13.08419
2018/02/09 18:06:28;0.3288078;0.03594685;5.299148;423.3566;18.34888;25.41506;27.21429;781.5;13.85366;-89.63171;13.08419
2018/02/09 18:06:29;0.3247452;0.04521179;4.912018;421.8489;18.38539;25.31002;27.21564;781.5;13.85366;-89.63171;13.08419
