Date,Time,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb
2/7/2019,17:37:25,814,561,9.73,23.96,78866,49.95,0.023854622,0.000007,0.3274,,,,,,,,,,,
2/7/2019,17:37:26,1315,798,11,23.96,78864,49.95,0.169645625,0.000015,0.6751,-0.0149,-0.000338588,-1.06052E-05,-10.60523763,0.028779638,-10.82807624,117.247235,85819199.74,11.8810733,0.128469636,0.07000835
2/7/2019,17:37:26,1817,826,11.96,23.96,78873,49.95,0.279849847,0.000016,0.7162,0.0262,0.000594745,1.86264E-05,18.6264363,0.078315937,18.1105316,327.991355,,,,
2/7/2019,17:37:27,2313,819,12.99,23.96,78873,49.99,0.398089793,0.000016,0.7059,0.0159,0.000361412,1.13188E-05,11.31882035,0.158475484,10.48848017,110.0082162,,,,
2/7/2019,17:37:27,2814,830,13.52,23.98,78876,50.02,0.458931708,0.000016,0.7220,0.0320,0.000728078,2.28029E-05,22.80288445,0.210618312,21.81074736,475.7087004,,,,
2/7/2019,17:37:28,3316,805,14.02,23.97,78876,50.06,0.51632974,0.000016,0.6854,-0.0046,-0.000105255,-3.2964E-06,-3.29639711,0.266596401,-4.441172788,19.72401574,,,,
2/7/2019,17:37:28,3791,804,14.87,23.97,78886,50.06,0.613906395,0.000016,0.6839,-0.0061,-0.000138588,-4.33979E-06,-4.339787471,0.376881062,-5.744048748,32.99409602,,,,
2/7/2019,17:37:29,4293,809,15.03,23.97,78887,50.06,0.632273766,0.000016,0.6912,0.0012,2.80784E-05,8.79243E-07,0.879242531,0.399770115,-0.573863094,0.329318851,,,,
2/7/2019,17:37:29,4795,819,15.83,23.97,78900,50.06,0.724110617,0.000016,0.7059,0.0159,0.000361412,1.13153E-05,11.31532783,0.524336186,9.618000462,92.50593288,,,,
2/7/2019,17:37:30,5297,808,16.24,23.97,78895,50.06,0.771177004,0.000016,0.6898,-0.0002,-5.25494E-06,-1.64536E-07,-0.164535781,0.594713972,-1.987026788,3.948275457,,,,
