Date,Time,Time_corr,-6,,Time_,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X2,d,d2,D,sy,sm,sb
1/29/2019 20:34,8:34:34 PM,43494.86,6:00:00 AM,0.25,2:34:34 PM,798,526,4.91,22.99,77097,53.2,-0.52946241,0.000006273,0.27607473,,,,,,,,,,,
1/29/2019 20:34,8:34:35 PM,43494.86,6:00:00 AM,0.25,2:34:35 PM,1293,756,6.13,23.01,77097,53.18,-0.389411211,1.39397E-05,0.61348473,,,,,,,,,,,
1/29/2019 20:34,8:34:35 PM,43494.86,6:00:00 AM,0.25,2:34:35 PM,1795,786,7.42,23.02,77093,53.18,-0.241324287,1.49397E-05,0.65749473,,,,,,,,,,,
1/29/2019 20:34,8:34:36 PM,43494.86,6:00:00 AM,0.25,2:34:36 PM,2296,798,8.69,23.02,77099,53.15,-0.095533285,1.53397E-05,0.67509873,,,,,,,,,,,
1/29/2019 20:34,8:34:36 PM,43494.86,6:00:00 AM,0.25,2:34:36 PM,2771,790,9.62,23.01,77100,53.15,0.011227055,0.000015073,0.66336273,-0.02893727,-0.000657516,-2.09985E-05,-20.99849801,,,,,,,
1/29/2019 20:34,8:34:37 PM,43494.86,6:00:00 AM,0.25,2:34:37 PM,3273,795,10.53,23.01,77095,53.12,0.115691474,1.52397E-05,0.67069773,-0.02160227,-0.000490849,-1.56768E-05,-15.67682932,,,,,,,
1/29/2019 20:34,8:34:37 PM,43494.86,6:00:00 AM,0.25,2:34:37 PM,3775,799,11.15,23.01,77095,53.1,0.186865034,0.000015373,0.67656573,-0.01573427,-0.000357516,-1.14184E-05,-11.41840489,,,,,,,
1/29/2019 20:34,8:34:38 PM,43494.86,6:00:00 AM,0.25,2:34:38 PM,4277,802,11.99,23.02,77100,53.1,0.283293729,0.000015473,0.68096673,-0.01133327,-0.000257516,-8.22433E-06,-8.224330876,,,,,,,
1/29/2019 20:34,8:34:38 PM,43494.86,6:00:00 AM,0.25,2:34:38 PM,4779,797,12.84,23.02,77093,53.04,0.380870384,1.53063E-05,0.67363173,-0.01866827,-0.000424182,-1.35484E-05,-13.54842602,,,,,,,
1/29/2019 20:34,8:34:39 PM,43494.86,6:00:00 AM,0.25,2:34:39 PM,5280,802,13.13,23.02,77100,53.01,0.414161243,0.000015473,0.68096673,-0.01133327,-0.000257516,-8.22433E-06,-8.224330876,,,,,,,
1/29/2019 20:34,8:34:39 PM,43494.86,6:00:00 AM,0.25,2:34:39 PM,5782,797,13.66,23.02,77100,52.99,0.475003157,1.53063E-05,0.67363173,-0.01866827,-0.000424182,-1.35472E-05,-13.54719594,,,,,,,
1/29/2019 20:34,8:34:40 PM,43494.86,6:00:00 AM,0.25,2:34:40 PM,6284,793,13.97,23.02,77105,52.96,0.510589937,0.000015173,0.66776373,-0.02453627,-0.000557516,-1.78043E-05,-17.80433337,,,,,,,
1/29/2019 20:34,8:34:40 PM,43494.86,6:00:00 AM,0.25,2:34:40 PM,6786,794,14.15,23.01,77097,52.91,0.531253229,1.52063E-05,0.66923073,-0.02306927,-0.000524182,-1.6741E-05,-16.74100114,,,,,,,
1/29/2019 20:34,8:34:41 PM,43494.86,6:00:00 AM,0.25,2:34:41 PM,7287,794,14.74,23.02,77106,52.88,0.598982907,1.52063E-05,0.66923073,-0.02306927,-0.000524182,-1.67396E-05,-16.73961229,,,,,,,
1/29/2019 20:34,8:34:41 PM,43494.86,6:00:00 AM,0.25,2:34:41 PM,7789,793,14.98,23.02,77097,52.82,0.626533962,0.000015173,0.66776373,-0.02453627,-0.000557516,-1.78062E-05,-17.80618084,,,,,,,
