Date,Time,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb
2/5/2019,17:30:21,19284,817,13.98,23.44,78910,53.72,0.511737898,0.000015973,0.7030,0.0033,7.43406E-05,2.32306E-06,2.323060757,,,,,,,
2/5/2019,17:30:22,19786,820,14,23.45,78918,53.72,0.514033819,0.000016073,0.7074,0.0077,0.000174341,5.44758E-06,5.447580337,,,,,,,
2/5/2019,17:30:22,20288,822,14,23.44,78912,53.68,0.514033819,1.61397E-05,0.7103,0.0106,0.000241007,7.53102E-06,7.531016842,,,,,,,
2/5/2019,17:30:23,20790,816,13.98,23.44,78920,53.68,0.511737898,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28127E-06,1.281268994,,,,,,,
2/5/2019,17:30:23,21292,822,13.99,23.44,78916,53.66,0.512885858,1.61397E-05,0.7103,0.0106,0.000241007,7.53064E-06,7.530635119,,,,,,,
2/5/2019,17:30:24,21794,817,14,23.44,78918,53.66,0.514033819,0.000015973,0.7030,0.0033,7.43406E-05,2.32283E-06,2.322825266,,,,,,,
2/5/2019,17:30:24,22296,816,14,23.45,78915,53.66,0.514033819,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28139E-06,1.281393377,,,,,,,
2/5/2019,17:30:25,22798,820,13.98,23.44,78915,53.63,0.511737898,0.000016073,0.7074,0.0077,0.000174341,5.4476E-06,5.447603756,,,,,,,
2/5/2019,17:30:25,23300,815,14,23.44,78910,53.63,0.514033819,1.59063E-05,0.7000,0.0003,7.67394E-06,2.39802E-07,0.239801973,,,,,,,
2/5/2019,17:30:26,23801,839,14,23.44,78908,53.63,0.514033819,1.67063E-05,0.7352,0.0355,0.000807674,2.52395E-05,25.23954709,,,,,,,
2/5/2019,17:30:26,24303,822,13.99,23.44,78910,53.63,0.512885858,1.61397E-05,0.7103,0.0106,0.000241007,7.53121E-06,7.531207718,,,,,,,
2/5/2019,17:30:27,24805,817,13.99,23.46,78916,53.66,0.512885858,0.000015973,0.7030,0.0033,7.43406E-05,2.32304E-06,2.323040774,,,,,,,
2/5/2019,17:30:27,25307,826,13.98,23.44,78914,53.66,0.511737898,0.000016273,0.7162,0.0165,0.000374341,1.16971E-05,11.69713235,,,,,,,
2/5/2019,17:30:28,25808,817,13.99,23.44,78914,53.66,0.512885858,0.000015973,0.7030,0.0033,7.43406E-05,2.32294E-06,2.322943006,,,,,,,
2/5/2019,17:30:28,26310,818,13.91,23.47,78918,53.66,0.503702173,1.60063E-05,0.7044,0.0047,0.000107674,3.36469E-06,3.36468937,,,,,,,
2/5/2019,17:30:29,26812,827,13.88,23.44,78920,53.66,0.500258291,1.63063E-05,0.7176,0.0179,0.000407674,1.27377E-05,12.73774047,,,,,,,
2/5/2019,17:30:29,27314,811,13.75,23.44,78915,53.68,0.485334803,0.000015773,0.6942,-0.0055,-0.000125659,-3.92647E-06,-3.926466801,,,,,,,
2/5/2019,17:30:30,27815,818,13.72,23.46,78915,53.68,0.481890921,1.60063E-05,0.7044,0.0047,0.000107674,3.3647E-06,3.364703842,,,,,,,
2/5/2019,17:30:30,28317,825,13.56,23.44,78915,53.68,0.46352355,1.62397E-05,0.7147,0.0150,0.000341007,1.06554E-05,10.65542073,,,,,,,
2/5/2019,17:30:31,28822,820,13.36,23.45,78913,53.68,0.440564337,0.000016073,0.7074,0.0077,0.000174341,5.44793E-06,5.447925501,,,,,,,
2/5/2019,17:30:31,29321,814,13.24,23.45,78917,53.68,0.42678881,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.01783E-07,-0.801783329,,,,,,,
2/5/2019,17:30:32,29822,809,13.14,23.44,78918,53.66,0.415309203,1.57063E-05,0.6912,-0.0085,-0.000192326,-6.00937E-06,-6.009365142,,,,,,,
2/5/2019,17:30:32,30324,819,13.07,23.46,78916,53.66,0.407273479,1.60397E-05,0.7059,0.0062,0.000141007,4.40628E-06,4.406281638,,,,,,,
2/5/2019,17:30:33,30826,814,13.04,23.44,78916,53.66,0.403829597,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.01766E-07,-0.801766456,,,,,,,
2/5/2019,17:30:33,31328,818,13.05,23.45,78917,53.68,0.404977557,1.60063E-05,0.7044,0.0047,0.000107674,3.36451E-06,3.364505135,,,,,,,
2/5/2019,17:30:34,31830,827,13,23.44,78914,53.66,0.399237754,1.63063E-05,0.7176,0.0179,0.000407674,1.27387E-05,12.73870895,,,,,,,
2/5/2019,17:30:34,32331,821,13.01,23.44,78910,53.66,0.400385715,1.61063E-05,0.7088,0.0091,0.000207674,6.48958E-06,6.489578326,,,,,,,
2/5/2019,17:30:35,32833,818,12.99,23.44,78911,53.66,0.398089793,1.60063E-05,0.7044,0.0047,0.000107674,3.36465E-06,3.36464751,,,,,,,
2/5/2019,17:30:35,33335,824,12.96,23.44,78911,53.66,0.394645912,1.62063E-05,0.7132,0.0135,0.000307674,9.61434E-06,9.614344663,,,,,,,
2/5/2019,17:30:36,33837,814,12.98,23.45,78917,53.66,0.396941833,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.01783E-07,-0.801783329,,,,,,,
2/5/2019,17:30:36,34339,808,12.95,23.44,78915,53.66,0.393497951,0.000015673,0.6898,-0.0099,-0.000225659,-7.05116E-06,-7.051156987,,,,,,,
2/5/2019,17:30:37,34841,808,12.88,23.46,78915,53.66,0.385462226,0.000015673,0.6898,-0.0099,-0.000225659,-7.05163E-06,-7.051632469,,,,,,,
2/5/2019,17:30:37,35343,814,12.73,23.46,78912,53.66,0.368242817,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.01861E-07,-0.801861165,,,,,,,
2/5/2019,17:30:38,35845,822,12.74,23.45,78911,53.66,0.369390777,1.61397E-05,0.7103,0.0106,0.000241007,7.53137E-06,7.531366202,,,,,,,
2/5/2019,17:30:38,36346,823,12.78,23.46,78917,53.63,0.37398262,0.000016173,0.7118,0.0121,0.000274341,8.57265E-06,8.572654735,,,,,,,
2/5/2019,17:30:39,36848,819,12.63,23.46,78909,53.63,0.35676321,1.60397E-05,0.7059,0.0062,0.000141007,4.40667E-06,4.406672518,,,,,,,
2/5/2019,17:30:39,37350,817,12.71,23.46,78909,53.63,0.365946895,0.000015973,0.7030,0.0033,7.43406E-05,2.32325E-06,2.32324685,,,,,,,
2/5/2019,17:30:40,37852,838,12.64,23.46,78909,53.63,0.357911171,0.000016673,0.7338,0.0341,0.000774341,2.41992E-05,24.19921636,,,,,,,
2/5/2019,17:30:40,38348,841,12.81,23.46,78911,53.63,0.377426502,0.000016773,0.7382,0.0385,0.000874341,2.73237E-05,27.32366232,,,,,,,
2/5/2019,17:30:41,38850,834,12.79,23.46,78911,53.63,0.375130581,1.65397E-05,0.7279,0.0282,0.000641007,2.00319E-05,20.0318573,,,,,,,
2/5/2019,17:30:41,39352,833,12.75,23.44,78911,53.63,0.370538738,1.65063E-05,0.7264,0.0267,0.000607674,1.89889E-05,18.98889039,,,,,,,
2/5/2019,17:30:42,39847,813,12.78,23.47,78913,53.63,0.37398262,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84357E-06,-1.843573187,,,,,,,
2/5/2019,17:30:42,40349,826,12.8,23.44,78905,53.63,0.376278541,0.000016273,0.7162,0.0165,0.000374341,1.16985E-05,11.69846654,,,,,,,
2/5/2019,17:30:43,40851,811,12.88,23.46,78907,53.63,0.385462226,0.000015773,0.6942,-0.0055,-0.000125659,-3.92713E-06,-3.927129688,,,,,,,
2/5/2019,17:30:43,41352,823,12.92,23.47,78907,53.66,0.390054069,0.000016173,0.7118,0.0121,0.000274341,8.57403E-06,8.574030218,,,,,,,
2/5/2019,17:30:44,41851,812,12.91,23.46,78904,53.66,0.388906108,1.58063E-05,0.6956,-0.0041,-9.23261E-05,-2.8855E-06,-2.885500156,,,,,,,
2/5/2019,17:30:44,42353,825,12.74,23.47,78901,53.66,0.369390777,1.62397E-05,0.7147,0.0150,0.000341007,1.06584E-05,10.65838939,,,,,,,
2/5/2019,17:30:45,42855,819,12.51,23.46,78903,53.68,0.342987682,1.60397E-05,0.7059,0.0062,0.000141007,4.40701E-06,4.407007613,,,,,,,
2/5/2019,17:30:45,43360,810,12.41,23.47,78901,53.68,0.331508076,1.57397E-05,0.6927,-0.0070,-0.000158993,-4.96941E-06,-4.969414316,,,,,,,
2/5/2019,17:30:46,43859,826,12.21,23.46,78906,53.68,0.308548863,0.000016273,0.7162,0.0165,0.000374341,1.16991E-05,11.69910714,,,,,,,
2/5/2019,17:30:46,44360,817,12.08,23.47,78902,53.68,0.293625375,0.000015973,0.7030,0.0033,7.43406E-05,2.32353E-06,2.323531297,,,,,,,
2/5/2019,17:30:47,44863,804,12.06,23.46,78909,53.68,0.291329453,1.55397E-05,0.6839,-0.0158,-0.000358993,-1.1219E-05,-11.21901999,,,,,,,
2/5/2019,17:30:47,45365,821,12.03,23.45,78896,53.68,0.287885571,1.61063E-05,0.7088,0.0091,0.000207674,6.49095E-06,6.490948739,,,,,,,
2/5/2019,17:30:48,45867,819,12.02,23.47,78905,53.66,0.286737611,1.60397E-05,0.7059,0.0062,0.000141007,4.40704E-06,4.407044485,,,,,,,
2/5/2019,17:30:48,46368,816,11.99,23.47,78900,53.66,0.283293729,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28172E-06,1.28172341,,,,,,,
2/5/2019,17:30:49,46870,819,12.01,23.45,78902,53.66,0.28558965,1.60397E-05,0.7059,0.0062,0.000141007,4.40691E-06,4.406914887,,,,,,,
2/5/2019,17:30:49,47372,830,11.98,23.47,78909,53.66,0.282145768,1.64063E-05,0.7220,0.0223,0.000507674,1.5866E-05,15.86604858,,,,,,,
2/5/2019,17:30:50,47874,824,11.99,23.47,78906,53.66,0.283293729,1.62063E-05,0.7132,0.0135,0.000307674,9.61593E-06,9.615926441,,,,,,,
2/5/2019,17:30:50,48375,819,11.95,23.47,78903,53.63,0.278701886,1.60397E-05,0.7059,0.0062,0.000141007,4.40716E-06,4.407156193,,,,,,,
2/5/2019,17:30:51,48877,820,11.94,23.47,78904,53.63,0.277553925,0.000016073,0.7074,0.0077,0.000174341,5.44891E-06,5.448914306,,,,,,,
2/5/2019,17:30:51,49379,819,11.93,23.47,78898,53.63,0.276405965,1.60397E-05,0.7059,0.0062,0.000141007,4.40744E-06,4.407435487,,,,,,,
2/5/2019,17:30:52,49816,804,11.92,23.47,78900,53.63,0.275258004,1.55397E-05,0.6839,-0.0158,-0.000358993,-1.12207E-05,-11.22067801,,,,,,,
2/5/2019,17:30:52,50318,816,11.89,23.47,78901,53.63,0.271814122,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28171E-06,1.281707166,,,,,,,
2/5/2019,17:30:53,50820,814,11.82,23.47,78903,53.63,0.263778398,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.0198E-07,-0.801979666,,,,,,,
2/5/2019,17:30:53,51321,824,11.75,23.47,78898,53.63,0.255742673,1.62063E-05,0.7132,0.0135,0.000307674,9.6169E-06,9.616901464,,,,,,,
2/5/2019,17:30:54,51823,815,11.76,23.46,78899,53.66,0.256890634,1.59063E-05,0.7000,0.0003,7.67394E-06,2.39852E-07,0.239851579,,,,,,,
2/5/2019,17:30:54,52326,814,11.73,23.47,78899,53.66,0.253446752,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.0202E-07,-0.802020325,,,,,,,
2/5/2019,17:30:55,52828,813,11.69,23.47,78897,53.66,0.248854909,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84395E-06,-1.843947057,,,,,,,
2/5/2019,17:30:55,53329,827,11.62,23.47,78894,53.66,0.240819185,1.63063E-05,0.7176,0.0179,0.000407674,1.27432E-05,12.74322711,,,,,,,
2/5/2019,17:30:56,53831,829,11.6,23.46,78904,53.66,0.238523263,0.000016373,0.7206,0.0209,0.000474341,1.48247E-05,14.82474021,,,,,,,
2/5/2019,17:30:56,54333,813,11.6,23.47,78898,53.66,0.238523263,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84392E-06,-1.843923685,,,,,,,
2/5/2019,17:30:57,54835,813,11.54,23.47,78903,53.66,0.2316355,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84381E-06,-1.843806838,,,,,,,
2/5/2019,17:30:57,55336,814,11.52,23.47,78896,53.66,0.229339578,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.02051E-07,-0.802050821,,,,,,,
2/5/2019,17:30:58,55838,813,11.54,23.47,78899,53.66,0.2316355,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.8439E-06,-1.843900315,,,,,,,
2/5/2019,17:30:58,56340,814,11.44,23.47,78903,53.66,0.220155893,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.0198E-07,-0.801979666,,,,,,,
2/5/2019,17:30:59,56842,827,11.44,23.47,78898,53.68,0.220155893,1.63063E-05,0.7176,0.0179,0.000407674,1.27426E-05,12.74258105,,,,,,,
2/5/2019,17:30:59,57344,816,11.45,23.47,78899,53.68,0.221303854,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28174E-06,1.281739655,,,,,,,
2/5/2019,17:31:00,57848,816,11.45,23.47,78897,53.68,0.221303854,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28177E-06,1.281772147,,,,,,,
2/5/2019,17:31:00,58347,829,11.43,23.47,78898,53.68,0.219007932,0.000016373,0.7206,0.0209,0.000474341,1.48264E-05,14.82636744,,,,,,,
