Date,Time,,-6,,Time_corr,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb
1/30/2019,19:24:05,0.81,6:00:00,0.25,13:24:05,797,532,4.94,24.61,77154,52.98,-0.525995569,0.000006473,0.28,,,,,,,,,,,
1/30/2019,19:24:06,0.81,6:00:00,0.25,13:24:06,1298,741,6.64,24.62,77151,52.94,-0.330842259,1.34397E-05,0.59,,,,,,,,,,,
1/30/2019,19:24:06,0.81,6:00:00,0.25,13:24:06,1773,779,7.65,24.62,77149,52.91,-0.214898233,1.47063E-05,0.65,,,,,,,,,,,
1/30/2019,19:24:07,0.81,6:00:00,0.25,13:24:07,2275,781,8.95,24.62,77145,52.89,-0.065663349,0.000014773,0.65,,,,,,,,,,,
1/30/2019,19:24:07,0.81,6:00:00,0.25,13:24:07,2777,805,9.93,24.62,77153,52.83,0.046836794,0.000015573,0.6854,-0.0066,-0.00015,-0.0000048,-4.835584456,0.002193685,-5.264971121,27.71992091,1150168.378,7.703132472,0.227590176,0.128734655
1/30/2019,19:24:08,0.81,6:00:00,0.25,13:24:08,3278,818,10.83,24.62,77160,52.81,0.150153253,1.60063E-05,0.7044,0.0124,0.00028,0.0000091,9.068248537,0.022545999,7.96477364,63.43761914,,,,
1/30/2019,19:24:08,0.81,6:00:00,0.25,13:24:08,3780,812,11.38,24.61,77161,52.75,0.213291088,1.58063E-05,0.6956,0.0036,0.00008,0.0000027,2.651173921,0.045493088,1.135756215,1.28994218,,,,
1/30/2019,19:24:09,0.81,6:00:00,0.25,13:24:09,4282,802,12,24.61,77155,52.69,0.284464649,0.000015473,0.6810,-0.0110,-0.00025,-0.0000080,-8.043872495,0.080920136,-10.02366209,100.4738018,,,,
1/30/2019,19:24:09,0.81,6:00:00,0.25,13:24:09,4784,810,12.78,24.61,77159,52.64,0.374005579,1.57397E-05,0.6927,0.0007,0.00002,0.0000005,0.512303014,0.139880173,-2.051696386,4.209458062,,,,
1/30/2019,19:24:10,0.81,6:00:00,0.25,13:24:10,5285,816,13.01,24.61,77159,52.59,0.400408674,1.59397E-05,0.7015,0.0095,0.00022,0.0000069,6.929121895,0.160327106,4.192855501,17.58003726,,,,
1/30/2019,19:24:10,0.81,6:00:00,0.25,13:24:10,5788,802,13.31,24.61,77162,52.5,0.434847493,0.000015473,0.6810,-0.0110,-0.00025,-0.0000080,-8.04314277,0.189092343,-11.00410524,121.0903321,,,,
1/30/2019,19:24:11,0.81,6:00:00,0.25,13:24:11,6290,817,13.88,24.62,77161,52.45,0.50028125,0.000015973,0.7030,0.0110,0.00025,0.0000080,7.998653005,0.250281329,4.610767987,21.25918143,,,,
1/30/2019,19:24:11,0.81,6:00:00,0.25,13:24:11,6792,814,13.99,24.61,77161,52.39,0.512908817,0.000015873,0.6986,0.0066,0.00015,0.0000048,4.790058107,0.263075455,1.319784528,1.741831199,,,,
1/30/2019,19:24:12,0.81,6:00:00,0.25,13:24:12,7293,805,14.07,24.61,77157,52.33,0.522092503,0.000015573,0.6854,-0.0066,-0.00015,-0.0000048,-4.835171383,0.272580581,-8.365363917,69.97931346,,,,
1/30/2019,19:24:12,0.81,6:00:00,0.25,13:24:12,7795,812,14.39,24.61,77158,52.28,0.558827243,1.58063E-05,0.6956,0.0036,0.00008,0.0000027,2.651277002,0.312287888,-1.118591347,1.251246602,,,,
1/30/2019,19:24:13,0.81,6:00:00,0.25,13:24:13,8297,803,14.72,24.61,77164,52.22,0.596709945,1.55063E-05,0.6824,-0.0096,-0.00022,-0.0000070,-6.973533786,0.356062758,-10.99056782,120.792581,,,,
1/30/2019,19:24:13,0.81,6:00:00,0.25,13:24:13,8799,808,14.96,24.6,77160,52.14,0.624261,0.000015673,0.6898,-0.0022,-0.00005,-0.0000016,-1.626560903,0.389701797,-5.823351799,33.91142618,,,,
1/30/2019,19:24:14,0.81,6:00:00,0.25,13:24:14,9298,803,15,24.61,77155,52.11,0.628852843,1.55063E-05,0.6824,-0.0096,-0.00022,-0.0000070,-6.974347237,0.395455898,-11.20109761,125.4645877,,,,
1/30/2019,19:24:14,0.81,6:00:00,0.25,13:24:14,9773,811,15.03,24.61,77162,52.08,0.632296725,0.000015773,0.6942,0.0022,0.00005,0.0000016,1.58171133,0.399799148,-2.667508652,7.115602407,,,,
1/30/2019,19:24:15,0.81,6:00:00,0.25,13:24:15,10272,815,15.12,24.6,77158,52,0.642628371,1.59063E-05,0.7000,0.0080,0.00018,0.0000059,5.859531231,0.412971223,1.542902427,2.380547898,,,,
1/30/2019,19:24:15,0.81,6:00:00,0.25,13:24:15,10775,813,15.31,24.6,77162,51.95,0.664439623,1.58397E-05,0.6971,0.0051,0.00012,0.0000037,3.720442844,0.441480013,-0.738493476,0.545372614,,,,
1/30/2019,19:24:16,0.81,6:00:00,0.25,13:24:16,11272,805,15.52,24.61,77156,51.89,0.688546797,0.000015573,0.6854,-0.0066,-0.00015,-0.0000048,-4.83523405,0.474096691,-9.451457625,89.33005123,,,,
1/30/2019,19:24:16,0.81,6:00:00,0.25,13:24:16,11772,805,15.58,24.6,77157,51.83,0.695434561,0.000015573,0.6854,-0.0066,-0.00015,-0.0000048,-4.835008998,0.483629228,-9.496171788,90.17727863,,,,
1/30/2019,19:24:17,0.81,6:00:00,0.25,13:24:17,12272,803,15.74,24.6,77158,51.78,0.713801931,1.55063E-05,0.6824,-0.0096,-0.00022,-0.0000070,-6.973841847,0.509513197,-11.75484255,138.1763233,,,,
1/30/2019,19:24:17,0.81,6:00:00,0.25,13:24:17,12772,808,15.64,24.61,77160,51.75,0.702322324,0.000015673,0.6898,-0.0022,-0.00005,-0.0000016,-1.626615531,0.493256647,-6.332717537,40.1033114,,,,
1/30/2019,19:24:18,0.81,6:00:00,0.25,13:24:18,13273,818,15.62,24.6,77156,51.69,0.700026403,1.60063E-05,0.7044,0.0124,0.00028,0.0000091,9.068109554,0.490036965,4.376987287,19.15801771,,,,
1/30/2019,19:24:18,0.81,6:00:00,0.25,13:24:18,13772,811,15.54,24.6,77155,51.67,0.690842718,0.000015773,0.6942,0.0022,0.00005,0.0000016,1.581801707,0.477263661,-3.049401606,9.298850152,,,,
1/30/2019,19:24:19,0.81,6:00:00,0.25,13:24:19,14272,803,15.49,24.6,77156,51.64,0.685102915,1.55063E-05,0.6824,-0.0096,-0.00022,-0.0000070,-6.97402262,0.469366004,-11.56777659,133.8134552,,,,
1/30/2019,19:24:19,0.81,6:00:00,0.25,13:24:19,14772,805,15.46,24.59,77157,51.59,0.681659033,0.000015573,0.6854,-0.0066,-0.00015,-0.0000048,-4.834846613,0.464659037,-9.406130972,88.47529987,,,,
1/30/2019,19:24:20,0.81,6:00:00,0.25,13:24:20,15272,816,15.45,24.6,77157,51.56,0.680511072,1.59397E-05,0.7015,0.0095,0.00022,0.0000069,6.929068791,0.463095319,2.365274302,5.594522522,,,,
1/30/2019,19:24:20,0.81,6:00:00,0.25,13:24:20,15774,805,15.48,24.59,77154,51.49,0.683954954,0.000015573,0.6854,-0.0066,-0.00015,-0.0000048,-4.835034608,0.467794379,-9.421298705,88.76086929,,,,
1/30/2019,19:24:21,0.81,6:00:00,0.25,13:24:21,16276,819,15.65,24.58,77158,51.45,0.703470285,1.60397E-05,0.7059,0.0139,0.00032,0.0000101,10.13664133,0.494870442,5.423049454,29.40946538,,,,
1/30/2019,19:24:21,0.81,6:00:00,0.25,13:24:21,16778,817,15.77,24.58,77153,51.42,0.717245813,0.000015973,0.7030,0.0110,0.00025,0.0000080,7.9984078,0.514441556,3.194937494,10.20762559,,,,
1/30/2019,19:24:22,0.81,6:00:00,0.25,13:24:22,17280,816,15.95,24.59,77156,51.35,0.737909104,1.59397E-05,0.7015,0.0095,0.00022,0.0000069,6.92892588,0.544509846,1.990637928,3.96263936,,,,
1/30/2019,19:24:22,0.81,6:00:00,0.25,13:24:22,17781,809,15.94,24.58,77157,51.31,0.736761144,1.57063E-05,0.6912,-0.0008,-0.00002,-0.0000006,-0.557125104,0.542816983,-5.487923187,30.11730091,,,,
1/30/2019,19:24:23,0.81,6:00:00,0.25,13:24:23,18283,808,16.01,24.59,77155,51.28,0.744796868,0.000015673,0.6898,-0.0022,-0.00005,-0.0000016,-1.626611679,0.554722375,-6.609838847,43.68996958,,,,
1/30/2019,19:24:23,0.81,6:00:00,0.25,13:24:23,18785,814,16.14,24.6,77153,51.24,0.759720357,0.000015873,0.6986,0.0066,0.00015,0.0000048,4.790393902,0.577175021,-0.290201566,0.084216949,,,,
1/30/2019,19:24:24,0.81,6:00:00,0.25,13:24:24,19287,814,16.29,24.6,77149,51.21,0.776939767,0.000015873,0.6986,0.0066,0.00015,0.0000048,4.790642273,0.603635401,-0.402301233,0.161846282,,,,
1/30/2019,19:24:24,0.81,6:00:00,0.25,13:24:24,19788,806,16.5,24.59,77147,51.17,0.80104694,1.56063E-05,0.6868,-0.0052,-0.00012,-0.0000038,-3.765908998,0.6416762,-9.116139759,83.1040041,,,,
1/30/2019,19:24:25,0.81,6:00:00,0.25,13:24:25,20293,811,16.52,24.58,77155,51.14,0.803342861,0.000015773,0.6942,0.0022,0.00005,0.0000016,1.581695457,0.645359753,-3.783515042,14.31498607,,,,
1/30/2019,19:24:25,0.81,6:00:00,0.25,13:24:25,20792,816,16.6,24.58,77154,51.11,0.812526547,1.59397E-05,0.7015,0.0095,0.00022,0.0000069,6.92887277,0.660199389,1.503743316,2.261243962,,,,
1/30/2019,19:24:26,0.81,6:00:00,0.25,13:24:26,21294,813,16.63,24.58,77151,51.08,0.815970429,1.58397E-05,0.6971,0.0051,0.00012,0.0000037,3.720723356,0.66580774,-1.726875705,2.982099699,,,,
