Date,Time,,-6,,Time_corr,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb
1/30/2019,19:08:36,0.80,6:00:00,0.25,13:08:36,722,0,0.2,24.83,77128,58.23,-1.070128916,-1.12603E-05,-0.50,,,,,,,,,,,
1/30/2019,19:08:36,0.80,6:00:00,0.25,13:08:36,1223,535,1.96,24.84,77131,58.17,-0.868087842,0.000006573,0.29,,,,,,,,,,,
1/30/2019,19:08:37,0.80,6:00:00,0.25,13:08:37,1725,748,3.07,24.84,77132,58.06,-0.74066421,0.000013673,0.60,,,,,,,,,,,
1/30/2019,19:08:37,0.80,6:00:00,0.25,13:08:37,2227,793,4.1,24.86,77130,57.9,-0.622424263,0.000015173,0.67,,,,,,,,,,,
1/30/2019,19:08:38,0.80,6:00:00,0.25,13:08:38,2728,790,5.22,24.84,77125,57.71,-0.493852671,0.000015073,0.66,,,,,,,,,,,
1/30/2019,19:08:38,0.80,6:00:00,0.25,13:08:38,3230,793,6.07,24.84,77131,57.51,-0.396276016,0.000015173,0.67,,,,,,,,,,,
1/30/2019,19:08:39,0.80,6:00:00,0.25,13:08:39,3732,796,7.01,24.84,77137,57.26,-0.288367715,0.000015273,0.67,,,,,,,,,,,
1/30/2019,19:08:39,0.80,6:00:00,0.25,13:08:39,4234,787,7.63,24.84,77139,57.01,-0.217194155,0.000014973,0.66,,,,,,,,,,,
1/30/2019,19:08:40,0.80,6:00:00,0.25,13:08:40,4736,802,8.02,24.84,77135,56.78,-0.172423689,0.000015473,0.68,,,,,,,,,,,
1/30/2019,19:08:40,0.80,6:00:00,0.25,13:08:40,5237,799,8.95,24.84,77145,56.51,-0.065663349,0.000015373,0.68,,,,,,,,,,,
1/30/2019,19:08:41,0.80,6:00:00,0.25,13:08:41,5739,800,9.04,24.84,77141,56.29,-0.055331703,1.54063E-05,0.68,,,,,,,,,,,
1/30/2019,19:08:41,0.80,6:00:00,0.25,13:08:41,6241,795,9.57,24.84,77146,56.03,0.005510211,1.52397E-05,0.6707,-0.0178,-0.0004,-0.000013,-12.99039367,3.03624E-05,-13.02540055,169.6610595,17630620.17,9.855855647,0.068955028,0.132514174
1/30/2019,19:08:42,0.80,6:00:00,0.25,13:08:42,6743,792,9.99,24.84,77143,55.84,0.053724558,1.51397E-05,0.6663,-0.0222,-0.0005,-0.000016,-16.20245254,0.002886328,-16.40026962,268.9688438,,,,
1/30/2019,19:08:42,0.80,6:00:00,0.25,13:08:42,7244,800,10.08,24.86,77142,55.61,0.064056204,1.54063E-05,0.6780,-0.0105,-0.0002,-0.000008,-7.638921051,0.004103197,-7.871626042,61.96249654,,,,
1/30/2019,19:08:43,0.80,6:00:00,0.25,13:08:43,7746,798,10.54,24.84,77147,55.42,0.116862394,1.53397E-05,0.6751,-0.0134,-0.0003,-0.000010,-9.778838114,0.013656819,-10.18985905,103.8332274,,,,
1/30/2019,19:08:43,0.80,6:00:00,0.25,13:08:43,8248,804,10.88,24.86,77145,55.26,0.155893056,1.55397E-05,0.6839,-0.0046,-0.0001,-0.000003,-3.356376033,0.024302645,-3.899195705,15.20372714,,,,
1/30/2019,19:08:44,0.80,6:00:00,0.25,13:08:44,8750,803,11.01,24.84,77145,55.06,0.170816544,1.55063E-05,0.6824,-0.0061,-0.0001,-0.000004,-4.426640923,0.029178292,-5.01985423,25.19893649,,,,
1/30/2019,19:08:44,0.80,6:00:00,0.25,13:08:44,9251,802,11.07,24.84,77149,54.9,0.177704308,0.000015473,0.6810,-0.0075,-0.0002,-0.000005,-5.496846051,0.031578821,-6.113317959,37.37265647,,,,
1/30/2019,19:08:45,0.80,6:00:00,0.25,13:08:45,9753,804,11.15,24.84,77143,54.75,0.186887993,1.55397E-05,0.6839,-0.0046,-0.0001,-0.000003,-3.356237792,0.034927122,-4.003721168,16.02978319,,,,
