Time,SO2,H2S,H2,CO2serial,Ext,Rh,Tair,Pressure,Lat,Long,VBatt,CO2cor,H2Scor,H2cor,,,,
9/30/2020 17:40,1.266777,-0.4444962,12.32401,491.8082,18.42991,89.89458,23.57599,789.8,13.85167,-89.62839,12.85557,24.8982,-0.0852962,11.90491,,,,
9/30/2020 17:40,1.273167,-0.4428224,11.89911,489.9676,18.42487,89.78302,23.56302,789.7,13.85167,-89.62839,12.85557,23.0576,-0.0836224,11.48001,,,,
9/30/2020 17:40,1.28817,-0.45119,11.63176,491.5015,18.47928,89.67884,23.55183,789.7,13.85167,-89.62839,12.85557,24.5915,-0.09199,11.21266,,,,
9/30/2020 17:40,1.288864,-0.4549532,11.28582,491.1947,18.49037,89.55731,23.54005,789.7,13.85167,-89.62839,12.85557,24.2847,-0.0957532,10.86672,,,,
9/30/2020 17:40,1.297295,-0.437459,10.89561,487.2067,18.45478,89.44557,23.52782,789.8,13.85167,-89.62839,12.85557,20.2967,-0.078259,10.47651,,,,
9/30/2020 17:40,1.301373,-0.4469271,10.32736,489.0473,18.62373,89.3203,23.51842,789.7,13.85167,-89.62839,12.93704,22.1373,-0.0877271,9.90826,,,,
9/30/2020 17:40,1.309094,-0.4615183,10.01341,485.0593,18.68153,89.21809,23.50923,789.7,13.85167,-89.62839,12.93704,18.1493,-0.1023183,9.59431,,,,
9/30/2020 17:40,1.315441,-0.4479427,9.467522,481.6849,18.79214,89.1162,23.49998,789.8,13.85167,-89.62839,12.93704,14.7749,-0.0887427,9.048422,,,,
9/30/2020 17:40,1.319237,-0.4353838,9.33281,480.7645,18.83717,88.98946,23.4904,789.7,13.85167,-89.62839,12.93704,13.8545,-0.0761838,8.91371,,,,
9/30/2020 17:40,1.325096,-0.447875,8.902802,482.9119,18.76404,88.87122,23.48183,789.7,13.85167,-89.62839,12.93704,16.0019,-0.088675,8.483702,,,,
9/30/2020 17:41,1.339104,-0.4416113,8.622707,483.8322,18.78918,88.74878,23.47368,789.8,13.85167,-89.62839,12.93704,16.9222,-0.0824113,8.203607,,,,
9/30/2020 17:41,1.346657,-0.4421625,8.58445,485.0593,18.1854,88.63441,23.46623,789.8,13.85167,-89.62839,12.93704,18.1493,-0.0829625,8.16535,,,,
9/30/2020 17:41,1.347046,-0.4486074,8.46989,480.151,18.50747,88.52825,23.45818,789.7,13.85167,-89.62839,12.93704,13.241,-0.0894074,8.05079,,,,
9/30/2020 17:41,1.355202,-0.4496679,8.218002,479.5375,18.81686,88.40521,23.4513,789.7,13.85167,-89.62839,12.85189,12.6275,-0.0904679,7.798902,,,,
9/30/2020 17:41,1.364281,-0.4471111,7.904346,480.7645,19.10276,88.28358,23.44492,789.7,13.85167,-89.62839,12.85189,13.8545,-0.0879111,7.485246,,,,
9/30/2020 17:41,1.372631,-0.4405727,7.793709,483.5254,19.05465,88.14642,23.43887,789.8,13.85167,-89.62839,12.85189,16.6154,-0.0813727,7.374609,,,,
9/30/2020 17:41,1.382969,-0.430439,7.613205,482.6052,19.01076,88.01893,23.43391,789.7,13.85167,-89.62839,12.85189,15.6952,-0.071239,7.194105,,,,
9/30/2020 17:41,1.389317,-0.4317427,7.309006,484.7526,19.07652,87.86957,23.42918,789.7,13.85167,-89.62839,12.85189,17.8426,-0.0725427,6.889906,,,,
9/30/2020 17:41,1.389313,-0.4273128,7.238514,484.139,19.12353,87.7373,23.42471,789.8,13.85167,-89.62839,12.85189,17.229,-0.0681128,6.819414,,,,
9/30/2020 17:41,1.405666,-0.4280424,7.108918,481.6849,19.1302,87.58908,23.42062,789.8,13.85167,-89.62839,12.85189,14.7749,-0.0688424,6.689818,,,,
9/30/2020 17:41,1.420353,-0.4229879,6.860107,478.6171,19.04371,87.4585,23.41734,789.8,13.85167,-89.62839,12.85189,11.7071,-0.0637879,6.441007,,,,
9/30/2020 17:41,1.432507,-0.4225311,6.730881,485.6728,19.09595,87.3299,23.41437,789.8,13.85167,-89.62839,12.93184,18.7628,-0.0633311,6.311781,,,,
9/30/2020 17:41,1.452225,-0.4175806,6.601898,484.7526,19.12845,87.21826,23.40997,789.8,13.85167,-89.62839,12.93184,17.8426,-0.0583806,6.182798,,,,
9/30/2020 17:41,1.458138,-0.4311247,6.35854,483.5254,19.02934,87.08146,23.40735,789.8,13.85167,-89.62839,12.93184,16.6154,-0.0719247,5.93944,,,,
9/30/2020 17:41,1.475769,-0.4309816,6.327232,485.0593,18.99228,86.91708,23.40483,789.8,13.85167,-89.62839,12.93184,18.1493,-0.0717816,5.908132,,,,
9/30/2020 17:41,1.480835,-0.4372664,6.24659,487.8202,19.0723,86.74246,23.40317,789.8,13.85167,-89.62839,12.93184,20.9102,-0.0780664,5.82749,,,,
9/30/2020 17:41,1.495056,-0.428257,6.343235,486.5931,18.98473,86.55546,23.40259,789.8,13.85167,-89.62839,12.93184,19.6831,-0.069057,5.924135,,,,
9/30/2020 17:41,1.491837,-0.4212751,6.007656,484.139,18.92335,86.38371,23.40142,789.8,13.85167,-89.62839,12.93184,17.229,-0.0620751,5.588556,,,,
9/30/2020 17:41,1.488739,-0.41889,5.71629,489.3541,19.08619,86.21026,23.40157,789.8,13.85167,-89.62839,12.93184,22.4441,-0.05969,5.29719,,,,
9/30/2020 17:41,1.490208,-0.4130258,5.662647,489.9676,18.90573,86.05246,23.40109,789.8,13.85167,-89.62839,12.90406,23.0576,-0.0538258,5.243547,,,,
9/30/2020 17:41,1.489826,-0.4072075,5.557876,489.6609,18.89464,85.8702,23.40136,789.8,13.85167,-89.62839,12.90406,22.7509,-0.0480075,5.138776,,,,
9/30/2020 17:41,1.486057,-0.4107084,5.390381,490.8879,19.01166,85.71632,23.40221,789.8,13.85167,-89.62839,12.90406,23.9779,-0.0515084,4.971281,,,,
9/30/2020 17:41,1.481216,-0.430088,5.309433,491.1947,19.09982,85.54622,23.40305,789.8,13.85167,-89.62839,12.90406,24.2847,-0.070888,4.890333,,,,
9/30/2020 17:41,1.46809,-0.4349632,5.344517,489.9676,19.03845,85.37338,23.40485,789.8,13.85167,-89.62839,12.90406,23.0576,-0.0757632,4.925417,,,,
9/30/2020 17:41,1.478916,-0.4176483,5.255459,486.2864,19.03672,85.20095,23.40498,789.8,13.85167,-89.62839,12.90406,19.3764,-0.0584483,4.836359,,,,
9/30/2020 17:41,1.477684,-0.3952694,5.217815,486.8999,18.98903,85.02375,23.40643,789.8,13.85167,-89.62839,12.90406,19.9899,-0.0360694,4.798715,,,,
9/30/2020 17:41,1.478024,-0.3995018,5.124054,487.2067,18.96666,84.85637,23.40763,789.8,13.85167,-89.62839,12.90406,20.2967,-0.0403018,4.704954,,,,
9/30/2020 17:41,1.482777,-0.4003296,4.904171,485.0593,19.00917,84.66256,23.40986,789.8,13.85167,-89.62839,12.83691,18.1493,-0.0411296,4.485071,,,,
9/30/2020 17:41,1.476944,-0.419055,4.741604,482.6052,18.9843,84.48987,23.41234,789.7,13.85167,-89.62839,12.83691,15.6952,-0.059855,4.322504,,,,
9/30/2020 17:41,1.48241,-0.4178047,4.569065,484.139,18.99936,84.32242,23.41502,789.7,13.85167,-89.62839,12.83691,17.229,-0.0586047,4.149965,,,,
9/30/2020 17:41,1.484039,-0.4242706,4.423912,478.924,18.845,84.15108,23.41873,789.7,13.85167,-89.62839,12.83691,12.014,-0.0650706,4.004812,,,,
9/30/2020 17:41,1.479324,-0.4144392,4.350716,483.8322,18.86251,83.97663,23.42178,789.7,13.85167,-89.62839,12.83691,16.9222,-0.0552392,3.931616,,,,
9/30/2020 17:41,1.488968,-0.4020968,4.020969,484.4458,18.87102,83.8103,23.42473,789.7,13.85167,-89.62839,12.83691,17.5358,-0.0428968,3.601869,,,,
9/30/2020 17:41,1.480766,-0.4108391,4.024574,480.151,19.04001,83.6615,23.42703,789.7,13.85167,-89.62839,12.83691,13.241,-0.0516391,3.605474,,,,
9/30/2020 17:41,1.486591,-0.4136057,3.807152,482.2984,18.99958,83.48659,23.43139,789.7,13.85167,-89.62839,12.83691,15.3884,-0.0544057,3.388052,,,,
9/30/2020 17:41,1.481785,-0.408041,3.705891,483.2187,18.9131,83.29748,23.43575,789.7,13.85167,-89.62839,12.93766,16.3087,-0.048841,3.286791,,,,
9/30/2020 17:41,1.478161,-0.4215774,3.95171,479.8442,18.882,83.0881,23.44003,789.7,13.85167,-89.62839,12.93766,12.9342,-0.0623774,3.53261,,,,
9/30/2020 17:41,1.475021,-0.4141874,3.928448,481.378,18.86205,82.88986,23.44456,789.7,13.85167,-89.62839,12.93766,14.468,-0.0549874,3.509348,,,,
9/30/2020 17:41,1.47253,-0.4212894,3.906471,481.378,18.7364,82.71182,23.44911,789.8,13.85167,-89.62839,12.93766,14.468,-0.0620894,3.487371,,,,
9/30/2020 17:41,1.471054,-0.4142504,3.887169,482.2984,18.86433,82.53665,23.4548,789.8,13.85167,-89.62839,12.93766,15.3884,-0.0550504,3.468069,,,,
9/30/2020 17:41,1.467495,-0.4159574,3.839374,478.3104,18.91543,82.36306,23.45997,789.8,13.85167,-89.62839,12.93766,11.4004,-0.0567574,3.420274,,,,
9/30/2020 17:41,1.45871,-0.4090004,3.612808,478.3104,18.82758,82.18706,23.46562,789.8,13.85167,-89.62839,12.93766,11.4004,-0.0498004,3.193708,,,,
9/30/2020 17:41,1.457291,-0.4144487,3.64225,481.378,18.91212,81.98936,23.47088,789.8,13.85167,-89.62839,12.93766,14.468,-0.0552487,3.22315,,,,
9/30/2020 17:41,1.453373,-0.41963,3.578873,477.3901,18.79784,81.80196,23.47701,789.8,13.85167,-89.62839,12.82311,10.4801,-0.06043,3.159773,,,,
