
<scaninformation>
	date=23.07.2008
	starttime=21:03:29
	compass=40.0
	tilt=0.0
	lat=13.396152
	long=-88.304610
	alt=382.978
	volcano=san_miguel
	site=piedra_azul
	observatory=snet
	serial=D2J2170
	spectrometer=S2000
	channel=0
	coneangle=90.0
	interlacesteps=1
	startchannel=0
	spectrumlength=2048
	flux=0.00
	battery=12.58
	temperature=33.60
	mode=plume
	instrumenttype=gothenburg
	version=2.1
	softwareversion=1.30
	compiledate=Apr 28 2008
</scaninformation>

<fluxinfo>
	flux=0.0000
	windspeed=10.0000
	winddirection=0.0000
	plumeheight=1000.00
	windspeedsource=user
	winddirectionsource=user
	plumeheightsource=user
	compasssource=user
</fluxinfo>
#scanangle	starttime	stoptime	name	specsaturation	fitsaturation	counts_ms	delta	chisquare	exposuretime	numspec	column(SO2)	columnerror(SO2)	shift(SO2)	shifterror(SO2)	squeeze(SO2)	squeezeerror(SO2)	isgoodpoint	offset	flag
<spectraldata>
0	21:03:29	21:03:32	sky	0.71	0.28	204.13	0.00e+000	0.00e+000	189	15	0.0	0.0	0.0	0.0	0.0	0.0	1	5081	0
180	21:03:55	21:03:59	dark	0.10	0.09	4.15	0.00e+000	0.00e+000	189	15	0.0	0.0	0.0	0.0	0.0	0.0	1	5078	0
-90	21:04:11	21:04:14	scan	0.88	0.23	260.15	4.58e-002	9.17e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5083	0
-86	21:04:16	21:04:20	scan	1.00	0.26	298.13	4.93e-002	1.07e-002	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5078	0
-82	21:04:21	21:04:25	scan	1.00	0.30	298.10	4.91e-002	8.11e-003	189	15	0.00	0.00	0.00	0.00	1.00	0.00	1	5085	0
-79	21:04:27	21:04:30	scan	1.00	0.33	298.10	5.27e-002	9.76e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5084	0
-75	21:04:32	21:04:36	scan	1.00	0.36	298.12	4.04e-002	7.78e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5080	0
-72	21:04:37	21:04:41	scan	1.00	0.39	298.11	5.07e-002	8.41e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5082	0
-68	21:04:43	21:04:47	scan	1.00	0.39	298.11	3.86e-002	6.76e-003	189	15	0.00	0.00	0.00	0.00	1.00	0.00	1	5082	0
-64	21:04:48	21:04:52	scan	1.00	0.41	298.12	4.06e-002	6.62e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5081	0
-61	21:04:53	21:04:57	scan	1.00	0.53	298.12	4.31e-002	8.76e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5080	0
-57	21:04:59	21:05:02	scan	1.00	0.43	298.16	4.34e-002	7.62e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5073	0
-54	21:05:04	21:05:08	scan	1.00	0.44	298.12	3.57e-002	6.85e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5081	0
-50	21:05:09	21:05:13	scan	1.00	0.43	298.14	3.86e-002	6.71e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5077	0
-46	21:05:15	21:05:18	scan	1.00	0.43	298.16	5.11e-002	7.54e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5073	0
-43	21:05:20	21:05:24	scan	1.00	0.44	298.13	4.61e-002	7.88e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5079	0
-39	21:05:25	21:05:29	scan	1.00	0.44	298.13	5.07e-002	9.32e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5079	0
-36	21:05:30	21:05:34	scan	1.00	0.42	298.15	4.43e-002	8.48e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5075	0
-32	21:05:36	21:05:40	scan	1.00	0.39	298.13	4.59e-002	7.61e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5078	0
-28	21:05:41	21:05:45	scan	1.00	0.36	298.15	5.20e-002	6.76e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5075	0
-25	21:05:47	21:05:50	scan	1.00	0.34	298.16	5.73e-002	1.05e-002	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5072	0
-21	21:05:52	21:05:56	scan	0.96	0.33	286.44	4.19e-002	5.92e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5077	0
-18	21:05:57	21:06:01	scan	0.91	0.32	268.06	4.35e-002	7.48e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5082	0
-14	21:06:03	21:06:07	scan	0.85	0.30	249.95	4.98e-002	7.34e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5079	0
-10	21:06:08	21:06:12	scan	0.81	0.29	235.25	5.04e-002	7.78e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5077	0
-7	21:06:14	21:06:17	scan	0.76	0.29	220.73	4.22e-002	6.42e-003	189	15	0.00	0.00	0.00	0.00	1.00	0.00	1	5078	0
-3	21:06:19	21:06:23	scan	0.73	0.28	209.98	4.67e-002	6.42e-003	189	15	-0.00	0.00	0.00	0.00	1.00	0.00	1	5081	0
0	21:06:25	21:06:28	scan	0.70	0.27	199.90	5.35e-002	9.07e-003	189	15	0.00	0.00	0.00	0.00	1.00	0.00	1	5084	0
