
<scaninformation>
	date=01.01.2006
	starttime=12:19:02
	compass=40.0
	tilt=0.0
	lat=0.000000
	long=0.000000
	alt=0.000
	volcano=san_miguel
	site=piedra_azul
	observatory=snet
	serial=D2J2170
	spectrometer=S2000
	channel=0
	coneangle=90.0
	interlacesteps=1
	startchannel=0
	spectrumlength=2048
	flux=0.00
	battery=14.09
	temperature=28.70
	mode=plume
	instrumenttype=gothenburg
	version=2.1
	softwareversion=1.30
	compiledate=Apr 28 2008
</scaninformation>

<fluxinfo>
	flux=0.0000
	windspeed=10.0000
	winddirection=0.0000
	plumeheight=1000.00
	windspeedsource=user
	winddirectionsource=user
	plumeheightsource=user
	compasssource=user
</fluxinfo>
#scanangle	starttime	stoptime	name	specsaturation	fitsaturation	counts_ms	delta	chisquare	exposuretime	numspec	column(SO2)	columnerror(SO2)	shift(SO2)	shifterror(SO2)	squeeze(SO2)	squeezeerror(SO2)	isgoodpoint	offset	flag
<spectraldata>
0	12:19:02	12:19:18	sky	0.14	0.13	3.46	0.00e+000	0.00e+000	1000	15	0.0	0.0	0.0	0.0	0.0	0.0	1	5415	0
180	12:19:42	12:19:58	dark	0.14	0.13	3.41	0.00e+000	0.00e+000	1000	15	0.0	0.0	0.0	0.0	0.0	0.0	1	5413	0
-90	12:20:11	12:20:27	scan	0.14	0.13	3.46	6.43e+000	1.61e+002	1000	15	-2630.95	1038.42	0.00	0.00	1.00	0.00	0	5410	0
-86	12:20:30	12:20:46	scan	0.14	0.13	3.46	8.73e+000	1.75e+002	1000	15	-1869.41	1082.06	0.00	0.00	1.00	0.00	0	5409	0
-82	12:20:49	12:21:06	scan	0.14	0.13	3.46	1.19e+001	3.84e+002	1000	15	-2560.72	1603.72	0.00	0.00	1.00	0.00	0	5409	0
-79	12:21:09	12:21:25	scan	0.14	0.13	3.40	8.41e+000	2.58e+002	1000	15	46.57	1314.10	0.00	0.00	1.00	0.00	0	5414	0
-75	12:21:28	12:21:43	scan	0.14	0.13	3.47	7.81e+000	1.94e+002	1000	15	703.29	1140.38	0.00	0.00	1.00	0.00	0	5411	0
-72	12:21:47	12:22:03	scan	0.14	0.13	3.44	8.25e+000	2.29e+002	1000	15	-108.67	1239.31	0.00	0.00	1.00	0.00	0	5414	0
-68	12:22:06	12:22:21	scan	0.14	0.13	3.44	9.28e+000	2.14e+002	1000	15	-803.65	1196.41	0.00	0.00	1.00	0.00	0	5412	0
-64	12:22:24	12:22:40	scan	0.14	0.13	3.47	7.86e+000	1.58e+002	1000	15	-86.63	1029.55	0.00	0.00	1.00	0.00	0	5414	0
-61	12:22:43	12:22:58	scan	0.14	0.13	3.47	7.04e+000	1.59e+002	1000	15	-1173.29	1032.75	0.00	0.00	1.00	0.00	0	5412	0
-57	12:23:01	12:23:18	scan	0.14	0.13	3.44	7.27e+000	1.89e+002	1000	15	-1590.02	1125.11	0.00	0.00	1.00	0.00	0	5408	0
-54	12:23:21	12:23:36	scan	0.14	0.13	3.45	7.61e+000	1.84e+002	1000	15	436.56	1110.63	0.00	0.00	1.00	0.00	0	5417	0
-50	12:23:39	12:23:55	scan	0.14	0.13	3.42	7.37e+000	2.10e+002	1000	15	-1599.06	1185.41	0.00	0.00	1.00	0.00	0	5415	0
-46	12:23:58	12:24:13	scan	0.14	0.13	3.48	8.18e+000	2.09e+002	1000	15	-1605.77	1182.12	0.00	0.00	1.00	0.00	0	5409	0
-43	12:24:16	12:24:32	scan	0.14	0.13	3.45	1.02e+001	3.08e+002	1000	15	-228.24	1436.85	0.00	0.00	1.00	0.00	0	5409	0
-39	12:24:36	12:24:51	scan	0.14	0.13	3.44	7.81e+000	2.03e+002	1000	15	-1183.07	1166.11	0.00	0.00	1.00	0.00	0	5415	0
-36	12:24:54	12:25:09	scan	0.14	0.13	3.45	1.01e+001	2.50e+002	1000	15	393.46	1293.39	0.00	0.00	1.00	0.00	0	5412	0
-32	12:25:12	12:25:29	scan	0.14	0.13	3.44	1.06e+001	2.58e+002	1000	15	-1682.37	1313.44	0.00	0.00	1.00	0.00	0	5413	0
-28	12:25:32	12:25:47	scan	0.14	0.13	3.44	7.67e+000	1.58e+002	1000	15	1144.07	1027.63	0.00	0.00	1.00	0.00	0	5410	0
-25	12:25:50	12:26:06	scan	0.14	0.13	3.44	1.07e+001	3.23e+002	1000	15	-2426.34	1470.36	0.00	0.00	1.00	0.00	0	5412	0
-21	12:26:09	12:26:24	scan	0.14	0.13	3.45	7.43e+000	2.01e+002	1000	15	-21.50	1161.24	0.00	0.00	1.00	0.00	0	5411	0
-18	12:26:27	12:26:43	scan	0.14	0.13	3.47	7.98e+000	2.47e+002	1000	15	-1261.58	1286.73	0.00	0.00	1.00	0.00	0	5407	0
-14	12:26:47	12:27:02	scan	0.14	0.13	3.43	5.83e+000	1.36e+002	1000	15	-720.00	954.16	0.00	0.00	1.00	0.00	0	5411	0
-10	12:27:05	12:27:20	scan	0.14	0.13	3.44	9.82e+000	2.15e+002	1000	15	24.15	1198.69	0.00	0.00	1.00	0.00	0	5417	0
-7	12:27:23	12:27:39	scan	0.14	0.13	3.43	9.02e+000	2.34e+002	1000	15	758.20	1252.46	0.00	0.00	1.00	0.00	0	5410	0
-3	12:27:42	12:27:58	scan	0.14	0.13	3.43	7.00e+000	2.22e+002	1000	15	-1830.65	1218.81	0.00	0.00	1.00	0.00	0	5412	0
0	12:28:01	12:28:17	scan	0.14	0.13	3.44	5.91e+000	1.66e+002	1000	15	114.67	1054.16	0.00	0.00	1.00	0.00	0	5415	0
3	12:28:20	12:28:35	scan	0.14	0.13	3.44	7.16e+000	2.19e+002	1000	15	-614.77	1211.39	0.00	0.00	1.00	0.00	0	5414	0
7	12:28:38	12:28:54	scan	0.14	0.13	3.46	8.11e+000	2.19e+002	1000	15	-2648.33	1211.46	0.00	0.00	1.00	0.00	0	5414	0
